"January 20, 2022 at 01:33PM",Same Old — Real Life,https://reallifemag.com/same-old/?utm_source=densediscovery&utm_medium=email&utm_campaign=newsletter-issue-171,https://reallifemag.com/same-old/
"January 20, 2022 at 01:36PM",Psychedelic Socialism From Marcuse to Fisher,https://youtu.be/M6vcCrMsNMQ,https://www.youtube.com/watch?v=M6vcCrMsNMQ
"January 23, 2022 at 08:18AM",Everything Is Wrong: Bernie Krause’s Concept of 'Biophony',https://thereader.mitpress.mit.edu/everything-is-wrong-bernie-krauses-concept-of-biophony/,https://thereader.mitpress.mit.edu/everything-is-wrong-bernie-krauses-concept-of-biophony/
"January 23, 2022 at 08:22AM",On the Need for New Futures,"One of the most curious facts about living as we do today is that our future does not, strictly speaking, exist. This fact has been well elaborated by Bruce…",https://solarpunks.net/post/27525726746/on-the-need-for-new-futures
"January 24, 2022 at 07:53AM",So Loud That it Hurts - Why You Need to Try Data Sonification,"Over the past couple of years, I've been getting deeper and deeper into sonification - the art and science of turning data into sound and music. I've released a…",https://blog.elevatedataviz.com/so-loud-that-it-hurts/
"January 24, 2022 at 07:55AM","Crows Are Self-Aware and 'Know What They Know,' Just Like Humans","Photo by Digital Zoo/Getty Images In what now feels like an annual update, crows are even more surprisingly smart than we thought. But do they have true…",https://getpocket.com/explore/item/crows-are-self-aware-and-know-what-they-know-just-like-humans
"January 24, 2022 at 07:59AM",Meet an Ecologist Who Works for God (and Against Lawns),"A Long Island couple say fighting climate change and protecting biodiversity starts at home. Or rather, right outside their suburban house. Send any friend a…",https://www.nytimes.com/2021/12/03/climate/climate-change-biodiversity.html
"January 25, 2022 at 03:18PM",on crypto art and NFTs — Mirror,https://mirror.xyz/mattdesl.eth/eUrK8MrRfKFJYVKTwi5F4mCIBJEBOYkZ1qaAiDNblIs,https://mirror.xyz/mattdesl.eth/eUrK8MrRfKFJYVKTwi5F4mCIBJEBOYkZ1qaAiDNblIs
"January 26, 2022 at 07:44AM",Avant guardians: The intersection of Art and Psychology,"1 of 3 Emily Dzieweczynski combines two disciplines into her art With bachelor’s degrees in studio art and psychological science from Gustavus Adolphus College,…",https://www.mankatofreepress.com/mankatomagazine/departments/avant-guardians-the-intersection-of-art-and-psychology/article_5f25203c-d1ed-11ea-bc81-a30239da69c9.html
"February 2, 2022 at 07:34AM",Tree Profile: Aspen - So Much More Than a Tree,"Our Forests Overview Find A Forest Your National Forests Magazine Our Forests, Our Water National Forest Week™ COVID-19 and Public Lands Who We Are About NFF…",https://www.nationalforests.org/blog/tree-profile-aspen-so-much-more-than-a-tree
"February 2, 2022 at 07:34AM",Is Old Music Killing New Music?,"Old songs now represent 70 percent of the U.S. music market, according to the latest numbers from MRC Data, a music-analytics firm. Those who make a living from…",https://www.theatlantic.com/ideas/archive/2022/01/old-music-killing-new-music/621339/
"February 2, 2022 at 07:34AM",Deep Dive Into Field Recording,https://www.minimal.audio/blog/field-recording/?_kx=CUCaE5GSbjOdjmYVBxomRLV25s3A6-Bdsg6HJLMl4p2NR8kl_tnX7BJBfqaOPmD9.UBhmJF,https://www.minimal.audio/blog/field-recording/
"February 3, 2022 at 01:16PM",Apocalypse When? Global Warming’s Endless Scroll,"Critic’s Notebook From “Don’t Look Up” to Greta Thunberg videos to doomsaying memes, we are awash in warnings that we are almost out of time. But the climate…",https://www.nytimes.com/2022/02/03/arts/climate-change-doomsday-culture.html
"February 7, 2022 at 07:55AM",What is Generative Art? — Amy Goodchild,An artwork may be generative in some ways and not in others. A piece could have generative aspects even if the artist didn’t have that intention. There are ways…,https://www.amygoodchild.com/blog/what-is-generative-art
"February 7, 2022 at 08:09AM",How to create music with Tone.js · Devbridge,https://www.devbridge.com/articles/tonejs-coding-music-production-guide/,https://www.devbridge.com/articles/tonejs-coding-music-production-guide/
"February 10, 2022 at 07:43AM",Interview: Rich Thomsen – Blokas Reads,https://blokas.io/reads/interview-rich-thomsen/,https://blokas.io/reads/interview-rich-thomsen/
"February 10, 2022 at 01:33PM",The Magic of the Birds,"Go Wild! For the teenage sons of an obsessed birder, a father’s bird-watching habit had become nerdy — until some bold jays in an Ontario park turned dubious…",https://www.nytimes.com/2022/02/08/travel/birdwatching-ontario-alqonquin.html
"February 10, 2022 at 02:14PM","Jenny Slate on Marriage, Movies, and Mollusks","As soon as we’re past the ticket-taker at the gates of the Huntington Botanical Gardens in Pasadena, California, Jenny Slate tells me a story about ducks. “One…",https://www.marieclaire.com/celebrity/jenny-slate-interview-2022/
